               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.020096,           0.0071072,           0.0060703,              0.9952,             0.98715,             0.99399,             0.85679,           0.0083246,           0.0026916,           0.0013062,           0.0088714,           0.0088714,           0.0088714
                  59,             0.01997,           0.0072238,           0.0065104,             0.99266,             0.99259,             0.99381,             0.85671,           0.0083715,           0.0027493,          0.00083582,           0.0088516,           0.0088516,           0.0088516
                  60,            0.020408,           0.0072901,           0.0069257,             0.99157,             0.98513,             0.99295,             0.85029,           0.0086002,           0.0028733,           0.0013807,           0.0088318,           0.0088318,           0.0088318
                  61,            0.020407,           0.0071484,           0.0056772,             0.99616,             0.98528,             0.99412,             0.85721,           0.0083739,           0.0027077,          0.00098953,            0.008812,            0.008812,            0.008812
                  62,            0.020637,           0.0069897,           0.0061269,             0.99332,             0.99154,             0.99415,             0.84581,           0.0085381,           0.0027328,           0.0011544,           0.0087922,           0.0087922,           0.0087922
                  63,            0.020053,           0.0069067,            0.005538,             0.99093,             0.99234,             0.99487,             0.86156,           0.0080483,           0.0026588,           0.0011527,           0.0087724,           0.0087724,           0.0087724
                  64,            0.020024,           0.0068467,           0.0059651,             0.99066,             0.98473,             0.99267,             0.85557,           0.0082197,           0.0027876,           0.0015504,           0.0087526,           0.0087526,           0.0087526
                  65,            0.020685,           0.0072695,           0.0058844,             0.99409,             0.98471,             0.99375,              0.8574,           0.0086433,           0.0027446,           0.0012393,           0.0087328,           0.0087328,           0.0087328
                  66,            0.019435,           0.0071274,           0.0060992,             0.99446,             0.98755,             0.99292,              0.8545,           0.0083835,           0.0027279,           0.0012193,            0.008713,            0.008713,            0.008713
                  67,            0.019866,           0.0070173,           0.0058622,             0.99433,             0.98715,             0.99359,             0.86168,           0.0082707,           0.0027325,           0.0014144,           0.0086932,           0.0086932,           0.0086932
                  68,            0.019513,           0.0069635,           0.0056926,             0.99283,             0.98723,             0.99348,             0.86182,           0.0080254,           0.0026672,           0.0013159,           0.0086734,           0.0086734,           0.0086734
                  69,            0.019694,           0.0070199,           0.0067197,             0.99479,             0.99163,             0.99416,             0.86582,           0.0081246,           0.0027261,          0.00092215,           0.0086536,           0.0086536,           0.0086536
                  70,            0.019985,           0.0070588,           0.0060117,              0.9892,             0.99081,             0.99399,             0.86003,           0.0081529,           0.0027091,          0.00088795,           0.0086338,           0.0086338,           0.0086338
